job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Senior Software Engineer - GoLang,Full Time,Andela,"Cairo, Egypt",'2 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'25000 to 40000 EGP Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","'MongoDB', 'Android', 'Computer Science', 'Information Technology (IT)', 'NodeJS', 'Software Engineering', 'AWS', 'Engineering', 'Design', 'Communication', 'Docker', 'Software Development'"
Outdoor Technical Sales Engineer,Full Time,ManEx Systems,"6th of October, Giza",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Commission, Transportation and Bonus are included'","'Sales/Retail', 'Engineering - Mechanical/Electrical'","'Electrical', 'Sales Engineering', 'Mechatronics', 'Outdoor Sales', 'Sales', 'Technical Sales'"
Maintenance Engineer- Heliopolis,Full Time,Al Amin Technological Systems,"Heliopolis, Cairo",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology'","'Maintenance', 'Information Technology (IT)', 'Mechatronics', 'Electronics', 'Communication Skills', 'Engineering', 'Electronics Engineering'"
Maintenance Engineer,Full Time,Al Amin Technological Systems,"6th of October, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology'","'Maintenance', 'Information Technology (IT)', 'Electronics', 'Mechatronics Engineering', 'Communication Skills', 'Engineering', 'Electronics Engineering'"
Lighting Procurement Engineer - Cairo,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Mechanical/Electrical', 'Purchasing/Procurement'","'English', 'Electrical Engineering', 'Lighting', 'Procurement', 'Purchasing', 'Engineering'"
Business Development Engineer,Full Time,Stratoil Energy Services,"Cairo, Egypt",'0 to 4 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Business Development', 'Sales/Retail', 'Engineering - Oil & Gas/Energy'","'Information Technology (IT)', 'Geology', 'Energy', 'Petroleum', 'Sales', 'Finance', 'Engineering', 'Marketing'"
MV Design Engineer,Full Time,Sega_m,"10th of Ramadan City, Sharqia",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Mechanical/Electrical', 'Creative/Design/Art'","'Electrical power', 'Power Engineering', 'Electrical', 'electrical power engineering', 'English', 'Microsoft', 'Power', 'Engineering', 'Design'"
Mechanical Engineer,Full Time,Global Medical Solutions International ,"Cairo, Egypt",'8 to 12 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Engineering - Mechanical/Electrical',"'Mechanical Engineering', 'Mechanical', 'Engineering'"
Sales Support Engineer,Full Time,ICON Holding,"Helwan, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, 1000'","'Engineering - Other', 'Sales/Retail'","'sales skills', 'Sales', 'Industry', 'Engineering'"
Senior Cost Control Engineer,Full Time,Redcon Spain,"Heliopolis, Cairo",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'cost control engineer', 'Computer Science', 'Information Technology (IT)', 'Cost Control', 'Cost', 'Quality Control'"
Technical Office Design Engineer,Full Time,Tanta Motors ,"Mahalla Kubra, Gharbia",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Mechanical/Electrical', 'Creative/Design/Art'","'Technical Office', 'solid works', 'Manufacturing', 'Engineering', 'Design'"
Senior Full Stack Engineer - Alexandria,Full Time,Caduceus Lane,"San Stefano, Alexandria",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'JavaScript', 'Computer Science', 'Information Technology (IT)', 'MySQL', 'HTML', 'PHP', 'Web Development', 'Full Stack', 'jQuery', 'CSS', 'Angular', 'Software Development'"
Process Engineer (Suez),Full Time,Micro Engineering,"Suez, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Other', 'Engineering - Oil & Gas/Energy', 'Engineering - Mechanical/Electrical'","'Chemical Engineering', 'Process Engineering', 'Safety', 'Engineering', 'Mechanical Engineering', 'CAD', 'Process', 'Process Engineer'"
Senior / Staff Layout Design Engineer,Full Time, Si-Vision,"Sheraton, Cairo",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Linux', 'Information Technology (IT)', 'Layout Design', 'Electronics', 'Analog', 'Layout', 'Engineering', 'Design', 'Software Development'"
Sales Engineer,Full Time,Egyptian Engineering Company,"6th of October, Giza",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Sales/Retail', 'Engineering - Mechanical/Electrical'","'Sales Target', 'Customer Service', 'Mechanical', 'Mechatronics', 'Sales', 'sales skills', 'Mechatronics Engineering', 'Skills', 'technical', 'Engineering', 'Communication'"
Senior Java Developer,Full Time,egabi solutions,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Design', 'Design Patters', 'Software Engineering', 'Java', 'SQL', 'Banks', 'Web Development', 'Spring Boot framework', 'REST', 'Oracle', 'Software Development', 'Information Technology (IT)', 'Testing', 'Data Structures', 'Software Deployment', 'OOP', 'Computer Science', 'Debugging', 'Development', 'Algorithms', 'SOAP'"
Senior Digital Data Analyst,Full Time,Jazeera Paints,"10th of Ramadan City, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Transportation , Social Insurance ,Medical Insurance'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Microsoft Office', 'Computer Science', 'business', 'English', 'Information Technology (IT)', 'Google Analytics', 'Data', 'Analyst', 'Data Analysis', 'analytical', 'Analysis', 'Marketing'"
Senior MEP Engineer,Full Time,Talent 360,"Nasr City, Cairo",'2 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Engineering - Mechanical/Electrical',"'Revit', 'Drawing', 'shop drawing', 'Engineering', 'Design'"
