job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Planning Analyst,Full Time,Cilantro,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Manufacturing/Production', 'Analyst/Research'","'Business Analysis', 'Analysis', 'Planning', 'Procurement', 'FMCG', 'Supply Chain', 'Engineering'"
Business Research Analyst-Marketing Research,Full Time,Nile Projects & Trading,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Quarter Profit Share + Annual Fixed Bonus'","'Analyst/Research', 'Marketing/PR/Advertising'","'E-Marketing', 'Communication skills', 'Communication', 'Skills', 'Market Research', 'Social Media', 'Marketing'"
Senior Business Analyst,Full Time,e-finance,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'Computer Engineering', 'Business', 'Analysis', 'Arabic', 'Process', 'Data', 'Engineering', 'Testing', 'Documentation', 'Computer Science', 'Information Technology (IT)', 'English'"
Business Analyst,Full Time,BBI-Consultancy,"Nasr City, Cairo",'6 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'Business Analysis', 'Data Management', 'Analysis', 'Modeling', 'Tableau', 'SQL', 'SAP', 'Computer Science', 'Data', 'Information Technology (IT)'"
BI Analyst,Full Time,Perfect Presentation,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'analytical', 'Analysis', 'BI Developer', 'SQL', 'Computer Science', 'SSRS', 'Power BI', 'BI'"
Senior Financial Analyst,Full Time,Contact,"Downtown, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Bonus, Social Security, Medical Insurance'",'Accounting/Finance',"'Planning', 'Finance', 'Financial Management', 'English', 'Financial Analysis', 'Budgeting', 'Accounting', 'life insurance', 'Analyst'"
Statistical Analyst,Freelance / Project,prosylab,"Jizan, Saudi Arabia",'10 to 11 years','Experienced (Non-Manager)',"""Master's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'Analysis', 'Data Analysis', 'Statistics', 'Computer Science', 'Information Technology (IT)'"
Senior System Analyst,Full Time,Pylon UMP,"New Cairo, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Software Development', 'System Analyst', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Analyst'"
Senior System Analyst,Full Time,Confidential Company - ,"Maadi, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Design', 'Analysis', 'Software', 'Software Development', 'Engineering', 'Testing', 'Computer Science', 'Information Technology (IT)', 'Information Systems'"
Data Management Specialist,Full Time,M.Srour,"Imbaba, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'4000 to 5000 EGP Per Month, Working hours:\n10am - 7pm and one day off.'","'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Big Data Analytics', 'Python', 'NumPy', 'English', 'BI', 'Data Analysis', 'Microsoft Power BI', 'Microsoft Office', 'Computer Science', 'Retail', 'Microsoft Excel', 'Power BI', 'Data Analysis Expressions (DAX)', 'Business Analysis', 'Data Entry', 'Engineering', 'computer', 'Programming', 'Pandas', 'Business', 'Information Technology (IT)'"
Senior Data Scientist,Full Time,Nana,"Sheraton, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'R', 'Machine Learning', 'data scientist', 'Python', 'Software Development', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Mathematics'"
Data Scientist,Full Time,Mobica,"Giza, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'Python', 'Data Science', 'SQL', 'SAP', 'Microsoft Office', 'Computer Science', 'Data', 'Information Technology (IT)'"
Data Scientist,Full Time,Chefaa IT,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'data scientist', 'Information Technology (IT)', 'Python', 'Data Science', 'Statistics', 'SQL', 'Engineering', 'Math', 'Computer Science', 'Data', 'Hadoop'"
Data Science Supervisor,Full Time,Raya Customer Experience,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'R&D/Science', 'Customer Service/Support'","'Computer Engineering', 'Python', 'Analysis', 'Software Development', 'SQL', 'MySQL', 'ETL', 'Programming', 'Computer Science', 'Data', 'Information Technology (IT)', 'BI'"
Merchandising Analyst,Full Time,Alhokair Fashion Retail,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'Sales', 'Analysis', 'ERP', 'Merchandising', 'Retail'"
Market/Brand Strategist/Analyst,Full Time,IMS,"Cairo, Egypt Not Verified",'2 to 4 years','Experienced (Non-Manager)','Not Specified','Confidential','Marketing/PR/Advertising',"'development skills', 'Digital Marketing Strategy', 'Research Analysis', 'Target'"
Senior Digital Analyst,Full Time,OSN,"6th of October, Giza",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'","'E-Marketing', 'SEO', 'media', 'Analysis', 'Adobe Photoshop', 'SEM', 'Social Media', 'Digital', 'Digital Marketing', 'Marketing'"
Data Scientist - For USA (Remotely),Full Time,Mobile Wave 3,"Cairo, Egypt",'10 to 17 years','Manager ',"""Master's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'Analysis', 'applied statistics', 'Data Science', 'security data', 'Business Analytics', 'Engineering', 'Clustering', 'Matlab', 'Analytics', 'Computer Science', 'Data', 'Information Technology (IT)'"
Power BI Developer,Full Time,Transmar International ,"New Cairo, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Power BI', 'MS SQL', 'Power', 'SQL', 'computer', 'Computer Science', 'Data', 'Information Technology (IT)', 'BI'"
Head of Data Analysis,Full Time,Zeina Group,"Sheikh Zayed, Giza",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'Analysis', 'Reporting', 'Data Analysis', 'Database', 'Statistics', 'SQL', 'Computer Science', 'Information Technology (IT)', 'Management'"
VOC and Analytics Specialist,Full Time,Maxab,"Cairo, Egypt",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Project/Program Management'","'Data Analytics', 'Analytical Skills', 'Project Management', 'Microsoft Excel'"
Budget & Costing Section Head,Full Time,Shiny White Dental Center ,"Heliopolis, Cairo",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'Analysis', 'Data Analysis', 'Finance', 'Financial Management', 'Commerce', 'Financial Analysis', 'CMA', 'Accounting', 'English'"
Research & Innovation (Materials and Biopolymers),Internship,Chitosan.egypt,"Giza, Giza",'Not Specified','Entry Level (Junior Level / Fresh Grad)','Not Specified','unpaid',"'Analyst/Research', 'R&D/Science', 'Manufacturing/Production'","'Plant Pathology', 'Agriculture', 'Medical', 'Marketing Research', 'Analysis', 'R&D', 'Data Analysis', 'Organic Agriculture', 'Data Collection', 'chitosan', 'Computer Science'"
Research Assistant Internship,Internship,Chitosan.egypt,"Giza, Giza",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)','Not Specified','unpaid',"'Analyst/Research', 'R&D/Science', 'Pharmaceutical'","'Plant Pathology', 'Agriculture', 'Medical', 'Marketing Research', 'Analysis', 'R&D', 'Data Analysis', 'Organic Agriculture', 'Research Assistant', 'Data Collection', 'chitosan', 'Computer Science'"
